name,total,positive,negative,pos_ratio,neg_ratio,horizon,tp_points,sl_points,rr,time_sec
h5_sl25_rr1.0,923910,619281,304629,0.670282819755171,0.32971718024482904,5,25,25,1.0,0.07504844665527344
h5_sl25_rr2.0,923910,459808,464102,0.49767618058035956,0.5023238194196404,5,50,25,2.0,0.0695030689239502
h5_sl25_rr3.0,923910,350295,573615,0.3791440724745917,0.6208559275254083,5,75,25,3.0,0.06776785850524902
h5_sl50_rr1.0,923910,508673,415237,0.5505655312746912,0.44943446872530873,5,50,50,1.0,0.06786513328552246
h5_sl50_rr2.0,923910,317462,606448,0.343607061293849,0.656392938706151,5,100,50,2.0,0.07171392440795898
h5_sl50_rr3.0,923910,209497,714413,0.22675044106027645,0.7732495589397236,5,150,50,3.0,0.06540465354919434
h5_sl75_rr1.0,923910,431946,491964,0.46751956359385655,0.5324804364061435,5,75,75,1.0,0.07343626022338867
h5_sl75_rr2.0,923910,234432,689478,0.2537390005520018,0.7462609994479982,5,150,75,2.0,0.07652831077575684
h5_sl75_rr3.0,923910,139782,784128,0.15129395720362374,0.8487060427963763,5,225,75,3.0,0.06516408920288086
h10_sl25_rr1.0,923910,622679,301231,0.6739606671645506,0.32603933283544934,10,25,25,1.0,0.11953997611999512
h10_sl25_rr2.0,923910,468493,455417,0.5070764468400601,0.4929235531599398,10,50,25,2.0,0.12791919708251953
h10_sl25_rr3.0,923910,363474,560436,0.3934084488748904,0.6065915511251095,10,75,25,3.0,0.12150859832763672
h10_sl50_rr1.0,923910,528291,395619,0.5717992012208981,0.4282007987791019,10,50,50,1.0,0.12715506553649902
h10_sl50_rr2.0,923910,349345,574565,0.37811583379333485,0.6218841662066652,10,100,50,2.0,0.1260056495666504
h10_sl50_rr3.0,923910,243779,680131,0.26385578681906247,0.7361442131809376,10,150,50,3.0,0.12288737297058105
h10_sl75_rr1.0,923910,471855,452055,0.5107153294152028,0.48928467058479724,10,75,75,1.0,0.13554739952087402
h10_sl75_rr2.0,923910,281404,642506,0.30457945037936596,0.695420549620634,10,150,75,2.0,0.1291508674621582
h10_sl75_rr3.0,923910,180272,743638,0.19511857215529652,0.8048814278447035,10,225,75,3.0,0.13458538055419922
h15_sl25_rr1.0,923910,623251,300659,0.674579775086318,0.32542022491368205,15,25,25,1.0,0.17830371856689453
h15_sl25_rr2.0,923910,470649,453261,0.5094100074682599,0.4905899925317401,15,50,25,2.0,0.17335128784179688
h15_sl25_rr3.0,923910,367406,556504,0.3976642746587871,0.6023357253412129,15,75,25,3.0,0.16730785369873047
h15_sl50_rr1.0,923910,533888,390022,0.5778571505882608,0.42214284941173924,15,50,50,1.0,0.18443703651428223
h15_sl50_rr2.0,923910,361036,562874,0.3907696637118334,0.6092303362881666,15,100,50,2.0,0.17674684524536133
h15_sl50_rr3.0,923910,258309,665601,0.2795824268597591,0.7204175731402409,15,150,50,3.0,0.17896819114685059
h15_sl75_rr1.0,923910,486228,437682,0.5262720394843654,0.47372796051563465,15,75,75,1.0,0.17760276794433594
h15_sl75_rr2.0,923910,302671,621239,0.3275979262049334,0.6724020737950667,15,150,75,2.0,0.17173433303833008
h15_sl75_rr3.0,923910,201814,722096,0.21843469602017512,0.7815653039798248,15,225,75,3.0,0.17982149124145508
h20_sl25_rr1.0,923910,623400,300510,0.6747410462057992,0.3252589537942007,20,25,25,1.0,0.22434711456298828
h20_sl25_rr2.0,923910,471405,452505,0.510228268987239,0.489771731012761,20,50,25,2.0,0.23045086860656738
h20_sl25_rr3.0,923910,368976,554934,0.39936357437412734,0.6006364256258726,20,75,25,3.0,0.22495007514953613
h20_sl50_rr1.0,923910,536207,387703,0.580367135327034,0.41963286467296596,20,50,50,1.0,0.22873330116271973
h20_sl50_rr2.0,923910,366571,557339,0.3967605069757877,0.6032394930242123,20,100,50,2.0,0.22780919075012207
h20_sl50_rr3.0,923910,266184,657726,0.28810598434912493,0.7118940156508751,20,150,50,3.0,0.23377346992492676
h20_sl75_rr1.0,923910,492972,430938,0.5335714517647823,0.46642854823521773,20,75,75,1.0,0.22551608085632324
h20_sl75_rr2.0,923910,314543,609367,0.34044766265112403,0.659552337348876,20,150,75,2.0,0.24370098114013672
h20_sl75_rr3.0,923910,215224,708686,0.23294909677349526,0.7670509032265047,20,225,75,3.0,0.23691725730895996
